﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2xlV2CuWgpPyE9e0GquKDN","Someone To Stay","Vancouver Sleep Clinic","Revival","1","5","254013","spotify:user:abcportugal1988","2017-08-15T19:16:31Z"
"spotify:track:64e3f3vDqy1k5xRknw4IGQ","Your Love","HAERTS","Your Love","1","1","226413","spotify:user:abcportugal1988","2017-08-15T19:16:37Z"
"spotify:track:7pZ2yntlLsrMquzWoh8weN","Million Dollar Secret","Lucius","Million Dollar Secret","1","1","145758","spotify:user:abcportugal1988","2017-08-15T19:16:44Z"
"spotify:track:172rW45GEnGoJUuWfm1drt","Your Best American Girl","Mitski","Puberty 2","1","5","212183","spotify:user:abcportugal1988","2017-08-15T19:16:50Z"
"spotify:track:7DDcNAaRQm1cyDeJ4yLafO","Reflecting Light","Sam Phillips","A Boot and a Shoe","1","6","197066","spotify:user:abcportugal1988","2017-08-15T19:17:00Z"
"spotify:track:728zbo72kOoYdGR3AhNsyF","Say Something Loving","The xx","I See You","1","2","238373","spotify:user:abcportugal1988","2017-08-15T19:19:52Z"
"spotify:track:65fXbdx5DstarNIGI7NRdS","Conrad","SOHN","Rennen","1","2","223095","spotify:user:abcportugal1988","2017-08-15T19:20:09Z"
"spotify:track:4KmylOc7EVRfTfy6OImJPX","Chateau Lobby #4 (in C for Two Virgins)","Father John Misty","I Love You, Honeybear","1","2","170840","spotify:user:abcportugal1988","2017-08-15T19:20:23Z"
"spotify:track:6O1XKTvgVLwytNWdOlFcHI","3WW","alt-J","RELAXER","1","1","300106","spotify:user:abcportugal1988","2017-08-15T19:24:24Z"
"spotify:track:2QCiQn9SGMydJPoMyOxijM","Pretty Thing","Broods","Broods","1","2","196781","spotify:user:abcportugal1988","2017-08-15T20:10:07Z"
"spotify:track:3LeNQIGi0zwmQm8WShZB95","No One's Gonna Love You","Band of Horses","Cease To Begin","1","3","217333","spotify:user:abcportugal1988","2017-08-19T22:38:18Z"
"spotify:track:69oAflKTaF6WOhvRe3y4qW","The Kids Don't Stand A Chance","Vampire Weekend","Vampire Weekend","1","11","243000","spotify:user:abcportugal1988","2017-08-19T22:38:32Z"
"spotify:track:61yQP9FDS7ukp4eAVTdwit","Bloodbuzz Ohio","The National","High Violet (Expanded Edition)","1","6","275933","spotify:user:abcportugal1988","2017-08-19T22:38:35Z"
"spotify:track:1waBeOYyySmYMLsgCB3aVh","In The Morning I’ll Be Better","Tennis","Yours Conditionally","1","1","213173","spotify:user:abcportugal1988","2017-08-19T22:38:38Z"
"spotify:track:35hI97JHRaZiO3AGCcQC2o","Paint or Pollen","Blind Pilot","3 Rounds and a Sound","1","3","217400","spotify:user:abcportugal1988","2017-08-19T22:38:51Z"
"spotify:track:3zr2s3o2Ye1j6t0ZMdoUYi","Song For Zula","Phosphorescent","Muchacho De Lujo (Deluxe Edition)","1","2","370200","spotify:user:abcportugal1988","2017-08-19T22:38:54Z"
"spotify:track:2qpQvKdVtxgTRu4q6xXrL7","Campus","Vampire Weekend","Vampire Weekend","1","6","176466","spotify:user:abcportugal1988","2017-08-19T22:39:02Z"
"spotify:track:4mdyVTV7Tr5YDFnD2kvSM4","Bruises","Chairlift","Does You Inspire You","1","4","241466","spotify:user:abcportugal1988","2017-08-19T22:39:05Z"
"spotify:track:1p2TWJxUlHE5JR0sE6E1d7","Best to You","Blood Orange","Freetown Sound","1","4","225747","spotify:user:abcportugal1988","2017-08-19T22:39:52Z"
"spotify:track:4MzySNjSdv9ZegSD13IVNV","Wicked Game - Recorded Live at St Canice Cathedral, Kilkenny","James Vincent McMorrow","Wicked Game (Recorded Live at St Canice Cathedral, Kilkenny)","1","1","271405","spotify:user:abcportugal1988","2017-08-19T22:40:19Z"
"spotify:track:72wmXZCWjyJuAFcKCf4xur","Hell To The Liars","London Grammar","Truth Is A Beautiful Thing (Deluxe)","1","5","364506","spotify:user:abcportugal1988","2017-08-19T22:40:24Z"
"spotify:track:7vcNp4cj4uF4AyX5aKY4Ps","You're Not Good Enough","Blood Orange","Cupid Deluxe","1","2","261360","spotify:user:abcportugal1988","2017-08-19T22:40:37Z"
"spotify:track:7zkDEBSxkcBVsStS4qBFpK","Lisztomania","Phoenix","Wolfgang Amadeus Phoenix","1","1","241546","spotify:user:abcportugal1988","2017-08-19T22:43:07Z"
"spotify:track:2LMloFiV7DHpBhITOaBSam","Hard To Explain","The Strokes","Is This It","1","8","224426","spotify:user:abcportugal1988","2017-08-19T22:43:11Z"
"spotify:track:3cUxncrTWSA9lhlQbuIwUY","Stuck on the puzzle","Alex Turner","Submarine - Original Songs From The Film By Alex Turner","1","5","211053","spotify:user:abcportugal1988","2017-08-19T22:43:28Z"
"spotify:track:0KNVDEeZWXZPIYKqJeRRpX","If You Wanna","The Vaccines","What Did You Expect From The Vaccines?","1","2","174013","spotify:user:abcportugal1988","2017-08-19T22:43:32Z"
"spotify:track:1k4OsQujxXPLij0ZsTFlMx","I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York","Julian Casablancas","Live From Electric Lady Studios/WRXP New York","1","3","203666","spotify:user:abcportugal1988","2017-08-19T22:43:35Z"
"spotify:track:4g3Ax56IslQkI6XVfYKVc5","The Less I Know The Better","Tame Impala","Currents","1","7","216318","spotify:user:abcportugal1988","2017-08-19T22:43:40Z"
"spotify:track:7gARZ2i5u5DHC1b1n1fML5","Breezeblocks","alt-J","An Awesome Wave","1","4","227080","spotify:user:abcportugal1988","2017-08-19T22:44:48Z"
"spotify:track:0240T0gP9w6xEgIciBrfVF","Talk Is Cheap","Chet Faker","Built on Glass","1","2","218067","spotify:user:abcportugal1988","2017-08-19T22:45:07Z"
"spotify:track:2GaAWaIazp02G4PZJV0gxX","Limit To Your Love","James Blake","James Blake","1","7","276720","spotify:user:abcportugal1988","2017-08-19T22:45:27Z"
"spotify:track:64xJ1MMFxxK6osZxJH857T","Waves","Dean Lewis","Waves","1","1","241292","spotify:user:abcportugal1988","2017-08-19T22:45:48Z"
"spotify:track:5QYhNt0XzoUByyg1VJtnns","Love Will Tear Us Apart","Susanna and the Magical Orchestra, Susanna","Melody Mountain","1","5","308292","spotify:user:abcportugal1988","2017-08-19T22:48:44Z"
"spotify:track:6MMojjMFcyv3btdSXFGeYc","Byegone","Volcano Choir","Repave","1","4","262533","spotify:user:abcportugal1988","2017-08-19T22:53:08Z"
"spotify:track:2jZgzSxNSg1hTCq0ewWHGJ","Junk of the Heart (Happy)","The Kooks","Junk Of The Heart","1","1","187253","spotify:user:abcportugal1988","2017-08-19T23:09:23Z"
